Category,Career
"R",Agriculture
"R,A,E",Architect
"R",Athletics
"R,C,I",Carpenter
"R,A,E",Culinary arts
"R,A,E",Chef
"R,I,C",Chemist
"R,I,C",Computer engineer
"R,I,C",Computer programmer
"R,I,S",Dentist
"R,I,C",Engineer
"R,A,E",Fashion design
"R,S,E",Firefighter
"R,A,E",Graphic designer
"R,A,E",Model
"R,A,E",Musician
"R,S,C,I",Nurse
"R",Outdoor recreation
"R,S,A",Park Naturalist
"R,E,S",Personal trainer
"R,A,E",Photographer
"R,S,I",Physical therapy
"R",Driver
"R,S,I",Sports medicine
"R,S,I",Wilderness medicine
"R,I,S",Surgeon
"R,I,S",Veterinarian
"R,C,A,I",Web developer
"R,I",Zoologists
"R,I",Wildlife Biologists
"I,C,E",Actuary
"I,S,C",Archivist
"I,S,C",Librarian
"I,C",Biostatistics
"I,C,E",Accountant
"I,S,E",Community Health Workers
"I,S,A",Counselor
"I,S,E",Dietitian
"I,S,E",Nutritionist
"I,S",Doctor
"I,S",Medical research
"I,C,S",Economics major
"I,C,E",Financial analyst
"I,S",Epidemiology
"I,E,S",Lawyer
"I,C,E",Paralegal
"I,S,C",Pharmacist
"I",Physics
"I,A",Poets
"I,A",Lyricists
"I,A",Creative Writers
"I",Professor
"I",Research
"I,S,A",Psychologist
"I,S,A",Art therapist
"I,S",Social Worker
"I,S,A",Speech-language pathology
"I,S,A",Myofunctional therapist
"I,A,C",Technical writer
"I,A,C",Proofreader
"I,A,C",Copy Editor
"I,S",Tutor
"A,E",Broadcast journalism
"A,S,E",Clergy
"A",School Counselors
"A",Academic Advisors
"A",Career Counselors
"A",Consultants
"A,S,E",Entrepreneur
"A,E",Public relations
"A,S",Teacher
"A,S,C",Business trainer
"A,S",Translator
"S,C,E",Personal Financial Planner
"S",Community Organizer
"S",School Counselors
"S",Academic Advisors
"S",Career Counselors
"S",Consultants
"S,C,E",Customer service
"S,E,C",Educational administration
"S,C,E",Human Resources
"S",Social Advocate
"S",Sociology
"S",Social Worker
"S,I,E,C,A",Advisers
"E,S,C",Business
"E",Broker
"E,S,A",Diplomacy
"E,R,S",Aerobics Teacher
"E,R,S",Fitness Trainer
"E",Fundraising
"E",Manager
"E",Management Consultant
"E,I",Market Research Analyst
"E,C",Property manager
"E,C",Community association manager
"E,A",Advertising
"E,A",Marketing
"E,C,S",Sales
"C,S",Math teacher
"C,E",Office administration
"C,E",Real Estate Agent
"C,R,I",Statistician
