Nama Prodi,Nama PT,Jenjang
Administrasi Rumah Sakit,AKADEMI ADMINISTRASI RUMAH SAKIT MATARAM,D-III
Akuntansi,Akademi Akuntansi (AKTAN) Boekittinggi,D-III
Akuntansi,Akademi Akuntansi Bandung,D-III
Akuntansi,Akademi Akuntansi Bina Insani,D-III
Akuntansi,Akademi Akuntansi Borobudur,D-III
Manajemen Informatika,Akademi Akuntansi Dan Komputer Stephen Jambi,D-III
Komputerisasi Akuntansi,Akademi Akuntansi Dan Komputer Stephen Jambi,D-III
Akuntansi,Akademi Akuntansi Dan Manajemen Mitra Lampung,D-III
Akuntansi,Akademi Akuntansi Dan Manajemen Pembangunan,D-III
Akuntansi,Akademi Akuntansi Denpasar,D-III
Akuntansi,Akademi Akuntansi Effendi Harahap,D-III
Akuntansi,Akademi Akuntansi Indonesia Padang,D-III
Akuntansi,Akademi Akuntansi Jayabaya,D-III
Akuntansi,Akademi Akuntansi Keuangan Dan Perbankan Indonesia,D-III
Keuangan Dan Perbankan,Akademi Akuntansi Keuangan Dan Perbankan Indonesia,D-III
Akuntansi,Akademi Akuntansi Lampung,D-III
Akuntansi,Akademi Akuntansi Muhammadiyah Klaten,D-III
Akuntansi,Akademi Akuntansi Permata Harapan Batam,D-III
Akuntansi,Akademi Akuntansi PGRI Jember,D-III
Akuntansi,Akademi Akuntansi Riau,D-III
Akuntansi,Akademi Akuntansi YAI Jakarta,D-III
Akuntansi,Akademi Akuntansi YKPN,D-III
Akuntansi,Akademi Akuntansi YPK Medan,D-III
Analis Farmasi Dan Makanan,AKADEMI ANALIS FARMASI DAN MAKANAN SUNAN GIRI PONOROGO,D-III
Analis Kesehatan,AKADEMI ANALIS KESEHATAN HARAPAN BANGSA,D-III
Analis Kesehatan,AKADEMI ANALIS KESEHATAN MANGGALA YOGYAKARTA,D-III
Teknik Mesin Kapal Perang,Akademi Angkatan Laut Surabaya,D-IV
Manajemen Pertahanan Matra Laut Aspek Dar,Akademi Angkatan Laut Surabaya,D-IV
Manajemen Logistik Dan Keuangan  Matra La,Akademi Angkatan Laut Surabaya,D-IV
Manajemen Pertahanan Matra Laut,Akademi Angkatan Laut Surabaya,D-IV
Teknik Aeronautika Pertahanan,Akademi Angkatan Udara (AAU),D-IV
Teknik Manajemen Industri Pertahanan,Akademi Angkatan Udara (AAU),D-IV
Teknik Elektronika Pertahanan,Akademi Angkatan Udara (AAU),D-IV
Bahasa Inggris,Akademi Bahasa Asing Balikpapan,D-III
Bahasa Inggris,Akademi Bahasa Asing Bina Insan Indonesia,D-III
Bahasa Inggris,Akademi Bahasa Asing Colorado Samarinda,D-III
Bahasa Inggris,Akademi Bahasa Asing Dian Cipta Cendikia,D-III
Bahasa Inggris,Akademi Bahasa Asing Harapan Bangsa,D-III
Bahasa Mandarin,Akademi Bahasa Asing Internasional Bandung,D-III
Bahasa Inggris,Akademi Bahasa Asing Permata Harapan,D-III
Bahasa Inggris,Akademi Bahasa Asing Permata Hati Tarakan,D-III
Bahasa Inggris,Akademi Bahasa Asing Persada Bunda,D-III
Bahasa Inggris,Akademi Bahasa Asing Sinema Yogyakarta,D-III
Bahasa Inggris,Akademi Bahasa Asing St Pignatelli,D-III
Bahasa Inggris,Akademi Bahasa Asing UMI Makassar,D-III
Bahasa Inggris,Akademi Bahasa Asing Widya Dharma,D-III
Kewirausahaan,Akademi Enterpreneurship Terang Bangsa,D-III
Akuntansi,Akademi Enterpreneurship Terang Bangsa,D-III
Farmasi,AKADEMI FARMASI INSTITUT KEJURUAN ILMU FARMASI,D-III
Farmasi,AKADEMI FARMASI ISFI BANJARMASIN,D-III
Farmasi,AKADEMI FARMASI MUHAMMADIYAH CIREBON,D-III
Farmasi,AKADEMI FARMASI SANDI KARSA,D-III
Farmasi,AKADEMI FARMASI SARASWATI DENPASAR,D-III
Farmasi,AKADEMI FARMASI THERESIANA,D-III
Fisioterapi,AKADEMI FISIOTERAPI WIDYA HUSADA,D-III
Fisioterapi,AKADEMI FISIOTERAPI YAB YOGYAKARTA,D-III
Gizi,Akademi Gizi Karya Husada Kediri,D-III
Manajemen Informatika,Akademi Ilmu Komputer Ternate,D-III
Teknik Komputer,Akademi Ilmu Komputer Ternate,D-III
Manajemen Pelabuhan,Akademi Ilmu Pelayaran Nusa Tenggara,D-III
Teknologi Kimia Tekstil,Akademi Industri Tekstil Bandung,D-III
Teknologi Industri Tekstil,Akademi Industri Tekstil Bandung,D-III
Komputerisasi Akuntansi,Akademi Informatika Dan Komputer Medicom,D-III
Teknik Komputer,Akademi Informatika Dan Komputer Medicom,D-III
Manajemen Informatika,Akademi Informatika Dan Komputer Medicom,D-III
Kebidanan,AKADEMI KEBIDANAN ADILA,D-III
Kebidanan,AKADEMI KEBIDANAN AGATHA,D-III
Kebidanan,AKADEMI KEBIDANAN AISYIYAH PONTIANAK,D-III
Kebidanan,AKADEMI KEBIDANAN AL-FATHONAH JAKARTA,D-III
