No,Nama Prodi,Nama PT,Jenjang
1,ADMINISTRASI RUMAH SAKIT,AKADEMI ADMINISTRASI RUMAH SAKIT MATARAM,D-III
2,Akuntansi,Akademi Akuntansi (AKTAN) Boekittinggi,D-III
3,Akuntansi,Akademi Akuntansi Bandung,D-III
4,Akuntansi,Akademi Akuntansi Bina Insani,D-III
5,Akuntansi,Akademi Akuntansi Borobudur,D-III
6,Manajemen Informatika,Akademi Akuntansi Dan Komputer Stephen Jambi,D-III
7,Komputerisasi Akuntansi,Akademi Akuntansi Dan Komputer Stephen Jambi,D-III
8,Akuntansi,Akademi Akuntansi Dan Manajemen Mitra Lampung,D-III
9,Akuntansi,Akademi Akuntansi Dan Manajemen Pembangunan,D-III
10,Akuntansi,Akademi Akuntansi Denpasar,D-III
11,Akuntansi,Akademi Akuntansi Effendi Harahap,D-III
12,Akuntansi,Akademi Akuntansi Indonesia Padang,D-III
13,Akuntansi,Akademi Akuntansi Jayabaya,D-III
14,Akuntansi,Akademi Akuntansi Keuangan Dan Perbankan Indonesia,D-III
15,Keuangan Dan Perbankan,Akademi Akuntansi Keuangan Dan Perbankan Indonesia,D-III
16,Akuntansi,Akademi Akuntansi Lampung,D-III
17,Akuntansi,Akademi Akuntansi Muhammadiyah Klaten,D-III
18,Akuntansi,Akademi Akuntansi Permata Harapan Batam,D-III
19,Akuntansi,Akademi Akuntansi PGRI Jember,D-III
20,Akuntansi,Akademi Akuntansi Riau,D-III
21,Akuntansi,Akademi Akuntansi YAI Jakarta,D-III
22,Akuntansi,Akademi Akuntansi YKPN,D-III
23,Akuntansi,Akademi Akuntansi YPK Medan,D-III
28,ANALIS FARMASI DAN MAKANAN,AKADEMI ANALIS FARMASI DAN MAKANAN SUNAN GIRI PONOROGO,D-III
32,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN HARAPAN BANGSA,D-III
34,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN MANGGALA YOGYAKARTA,D-III
40,Teknik Mesin Kapal Perang,Akademi Angkatan Laut Surabaya,D-IV
41,Manajemen Pertahanan Matra Laut Aspek Dar,Akademi Angkatan Laut Surabaya,D-IV
42,Manajemen Logistik Dan Keuangan  Matra La,Akademi Angkatan Laut Surabaya,D-IV
43,Manajemen Pertahanan Matra Laut,Akademi Angkatan Laut Surabaya,D-IV
44,Teknik Aeronautika Pertahanan,Akademi Angkatan Udara (AAU),D-IV
45,Teknik Manajemen Industri Pertahanan,Akademi Angkatan Udara (AAU),D-IV
46,Teknik Elektronika Pertahanan,Akademi Angkatan Udara (AAU),D-IV
48,Bahasa Inggris,Akademi Bahasa Asing Balikpapan,D-III
49,Bahasa Inggris,Akademi Bahasa Asing Bina Insan Indonesia,D-III
50,Bahasa Inggris,Akademi Bahasa Asing Colorado Samarinda,D-III
51,Bahasa Inggris,Akademi Bahasa Asing Dian Cipta Cendikia,D-III
52,Bahasa Inggris,Akademi Bahasa Asing Harapan Bangsa,D-III
53,Bahasa Mandarin,Akademi Bahasa Asing Internasional Bandung,D-III
54,Bahasa Inggris,Akademi Bahasa Asing Permata Harapan,D-III
55,Bahasa Inggris,Akademi Bahasa Asing Permata Hati Tarakan,D-III
56,Bahasa Inggris,Akademi Bahasa Asing Persada Bunda,D-III
57,Bahasa Inggris,Akademi Bahasa Asing Sinema Yogyakarta,D-III
58,Bahasa Inggris,Akademi Bahasa Asing St Pignatelli,D-III
59,Bahasa Inggris,Akademi Bahasa Asing UMI Makassar,D-III
60,Bahasa Inggris,Akademi Bahasa Asing Widya Dharma,D-III
62,Kewirausahaan,Akademi Enterpreneurship Terang Bangsa,D-III
63,Akuntansi,Akademi Enterpreneurship Terang Bangsa,D-III
73,FARMASI,AKADEMI FARMASI INSTITUT KEJURUAN ILMU FARMASI,D-III
74,FARMASI,AKADEMI FARMASI ISFI BANJARMASIN,D-III
81,FARMASI,AKADEMI FARMASI MUHAMMADIYAH CIREBON,D-III
87,FARMASI,AKADEMI FARMASI SANDI KARSA,D-III
89,FARMASI,AKADEMI FARMASI SARASWATI DENPASAR,D-III
92,FARMASI,AKADEMI FARMASI THERESIANA,D-III
102,FISIOTERAPI,AKADEMI FISIOTERAPI WIDYA HUSADA,D-III
103,FISIOTERAPI,AKADEMI FISIOTERAPI YAB YOGYAKARTA,D-III
105,Gizi,Akademi Gizi Karya Husada Kediri,D-III
107,Manajemen Informatika,Akademi Ilmu Komputer Ternate,D-III
108,Teknik Komputer,Akademi Ilmu Komputer Ternate,D-III
109,Manajemen Pelabuhan,Akademi Ilmu Pelayaran Nusa Tenggara,D-III
110,Teknologi Kimia Tekstil,Akademi Industri Tekstil Bandung,D-III
111,Teknologi Industri Tekstil,Akademi Industri Tekstil Bandung,D-III
